frame_number,track_id,class_name,speed_kph,pixel_distance_per_frame
531,154,car,58.51,7.81
532,149,car,21.19,2.83
532,151,bus,54.53,7.28
532,154,car,30.89,4.12
533,149,car,16.75,2.24
533,151,bus,50.25,6.71
533,154,car,43.68,5.83
534,149,car,23.69,3.16
534,151,truck,45.57,6.08
534,154,car,42.37,5.66
535,149,car,16.75,2.24
535,151,bus,47.38,6.32
535,154,car,33.5,4.47
535,164,car,112.61,15.03
536,149,car,10.59,1.41
536,151,bus,40.34,5.39
536,154,car,33.5,4.47
536,164,car,135.04,18.03
537,149,car,10.59,1.41
537,151,bus,44.95,6.0
537,154,car,47.38,6.32
537,164,car,196.63,26.25
538,149,car,16.75,2.24
538,151,bus,30.89,4.12
538,154,car,54.02,7.21
538,164,car,170.82,22.8
539,149,car,14.98,2.0
539,151,bus,40.34,5.39
539,154,car,27.01,3.61
539,164,car,135.04,18.03
540,149,car,16.75,2.24
540,151,bus,29.96,4.0
540,154,car,27.01,3.61
540,164,car,112.36,15.0
541,149,car,16.75,2.24
541,151,bus,43.68,5.83
541,154,car,27.01,3.61
541,164,car,114.34,15.26
542,149,car,27.01,3.61
542,151,bus,33.5,4.47
542,154,car,22.47,3.0
542,164,car,106.47,14.21
543,149,car,10.59,1.41
543,151,bus,30.89,4.12
543,154,car,16.75,2.24
543,164,car,91.44,12.21
544,149,car,21.19,2.83
544,151,bus,27.01,3.61
544,154,car,21.19,2.83
544,164,car,90.2,12.04
545,149,car,10.59,1.41
545,151,truck,33.5,4.47
545,154,car,31.78,4.24
545,164,car,90.51,12.08
546,149,car,10.59,1.41
546,151,bus,30.89,4.12
546,154,car,21.19,2.83
546,164,car,67.0,8.94
547,149,car,14.98,2.0
547,151,bus,23.69,3.16
547,154,car,16.75,2.24
547,164,car,83.75,11.18
548,149,car,16.75,2.24
548,151,bus,30.89,4.12
548,154,car,27.01,3.61
548,164,car,54.02,7.21
549,149,car,22.47,3.0
549,151,bus,16.75,2.24
549,154,car,14.98,2.0
549,164,car,70.67,9.43
550,149,car,7.49,1.0
550,151,bus,38.2,5.1
550,154,car,16.75,2.24
550,164,car,73.78,9.85
551,149,car,16.75,2.24
551,151,bus,38.2,5.1
551,154,car,21.19,2.83
551,164,car,58.51,7.81
552,149,car,16.75,2.24
552,151,bus,23.69,3.16
552,154,car,21.19,2.83
552,164,car,33.5,4.47
553,149,car,14.98,2.0
553,151,bus,23.69,3.16
553,154,car,16.75,2.24
553,164,car,54.02,7.21
554,149,car,0.0,0.0
554,151,bus,16.75,2.24
554,154,car,16.75,2.24
554,164,car,52.97,7.07
555,149,car,22.47,3.0
555,151,bus,27.01,3.61
555,154,car,23.69,3.16
555,164,car,47.97,6.4
556,149,car,23.69,3.16
556,151,bus,21.19,2.83
556,154,car,16.75,2.24
556,164,car,43.68,5.83
557,149,car,16.75,2.24
557,151,bus,16.75,2.24
557,154,car,16.75,2.24
557,164,car,33.5,4.47
558,151,bus,14.98,2.0
558,154,car,23.69,3.16
558,164,car,57.05,7.62
559,151,bus,27.01,3.61
559,154,car,10.59,1.41
559,164,car,54.02,7.21
