frame_number,tracked_points_count,avg_pixel_speed_per_frame,speed_kph
689,1,0.0,0.0
690,1,0.0,0.01
691,1,0.0,0.01
692,1,0.0,0.0
693,1,0.0,0.0
694,1,0.0,0.0
695,1,0.0,0.0
696,1,0.0,0.0
697,1,0.0,0.0
698,1,0.0,0.0
699,1,0.0,0.02
700,1,0.0,0.0
701,1,0.01,0.08
702,1,0.05,0.59
703,1,0.0,0.05
704,1,0.0,0.02
705,1,0.01,0.1
706,1,0.0,0.04
707,1,0.0,0.0
708,1,0.0,0.0
709,1,0.0,0.0
710,1,0.0,0.01
711,1,0.0,0.0
712,1,0.0,0.01
713,1,0.01,0.12
714,1,0.01,0.13
715,1,0.01,0.15
716,1,4.81,51.98
717,1,9.78,105.57
718,1,9.71,104.82
719,1,11.07,119.51
720,1,11.46,123.75
721,1,7.96,85.92
722,1,8.71,94.07
723,1,8.82,95.28
724,1,9.49,102.45
725,1,9.7,104.78
726,1,10.67,115.19
727,1,10.8,116.62
728,1,11.84,127.83
729,1,12.34,133.22
730,1,13.18,142.34
731,1,14.04,151.6
732,1,15.04,162.39
733,1,16.04,173.21
734,1,17.02,183.8
735,0,0,0
736,1,6.89,74.36
737,1,7.18,77.59
738,1,7.69,83.02
739,1,8.11,87.56
740,1,8.13,87.85
741,1,8.85,95.58
742,1,9.25,99.87
743,1,9.58,103.51
744,1,10.36,111.84
745,1,10.89,117.62
746,1,11.14,120.32
747,1,12.21,131.87
748,1,13.08,141.21
749,1,13.53,146.12
750,1,14.8,159.88
751,1,0.06,0.63
752,1,0.0,0.05
753,1,0.0,0.02
754,1,0.02,0.25
755,1,0.06,0.64
756,1,0.1,1.13
757,1,0.0,0.01
758,1,0.02,0.18
759,1,0.09,0.94
760,1,0.09,1.0
761,1,0.05,0.56
762,1,0.02,0.18
763,1,0.01,0.15
764,1,0.03,0.29
765,1,0.0,0.01
766,1,0.0,0.03
767,1,0.0,0.02
768,1,0.03,0.36
769,1,0.11,1.15
770,1,0.0,0.02
771,1,0.0,0.01
772,1,0.0,0.0
773,1,0.0,0.0
774,1,0.0,0.0
775,1,0.0,0.0
776,1,0.0,0.0
777,1,0.0,0.0
778,1,0.01,0.1
779,1,0.0,0.04
780,1,0.0,0.02
781,1,0.0,0.01
782,1,0.0,0.0
783,1,0.0,0.0
784,1,0.0,0.0
785,1,0.0,0.0
786,1,0.09,1.0
787,1,0.0,0.01
788,1,0.0,0.0
789,1,0.15,1.64
790,1,0.0,0.02
791,1,0.27,2.89
792,1,0.0,0.0
793,1,0.18,1.98
794,1,0.0,0.03
795,1,0.13,1.38
796,1,0.0,0.01
797,1,0.02,0.27
798,1,0.02,0.21
799,1,0.06,0.7
800,1,0.09,0.96
801,1,0.0,0.02
802,1,0.0,0.01
803,1,0.09,0.95
804,1,0.0,0.02
805,1,0.0,0.0
806,1,0.0,0.01
807,1,0.0,0.0
808,1,0.0,0.01
809,1,0.0,0.0
810,1,0.01,0.09
811,2,4.3,46.45
